Level,Vocab,Part of Speech,Meaning,Pronunciation,IPA
A1,about,prep. adv.,เกี่ยวกับ,เออะ บ๊าว ถึ,ʌ b ˈaʊ t
A1,above,prep. adv.,ข้างบน,เออะ บ๊ะ ฝึ,ʌ b ˈʌ v
A1,across,prep. adv.,ข้าม,เออะ คร้อ สึ,ʌ k r ˈɔː s
A1,action,n.,การกระทำ,แอ๊ ขึ เฉอะ น,ˈæ k ʃ ʌ n
A1,activity,n.,กิจกรรม,แอ่ ขึ ทิ เฝอะ ถี่,æ k t ˈɪ v ʌ t iː
A1,actor,n.,นักแสดงชาย,แอ๊ ขึ เถ่อ ร,ˈæ k t ɜːʴ
A1,actress,n.,นักแสดงหญิง,แอ๊ ขึ เถรอะ สึ,ˈæ k t r ʌ s
A1,add,v.,เพิ่ม,แอ๊ ดึ,ˈæ d
A1,address,n.,ที่อยู่,แอ๊ เดระ สึ,ˈæ d r ˌe s
A1,adult,n.,ผู้ใหญ่,เออะ ด๊ะ ล ถึ,ʌ d ˈʌ l t
,,,,,
A2,ability,,ความสามารถ,,
A2,able,,สามารถ,,
A2,abroad,,ต่างประเทศ,,
A2,accept,,ยอมรับ,,
A2,accident,,อุบัติเหตุ,,
